submission_check_id,submission_id,check_id,check_label,check_title,check_type,check_description,verdict,verdict_display,check_details,check_created_at,check_updated_at,applicant_id,app_version,remote_path,submission_created_at,task_slug,task_uuid
"2,537,453","223,478",26,bppf_validation,Video quality (BPPF),simple,Validates the video quality by checking Bits Per Pixel Per Frame (BPPF). Ensures the video is not overly compressed or has quality issues.,passed,✅ PASSED,"{""fps"": 30, ""flag"": false, ""value"": 0.009993581501404045, ""width"": 1920, ""height"": 1080, ""reason"": ""Video quality is acceptable"", ""status"": ""passed"", ""category"": ""normal"", ""duration"": 14.566667}","December 23, 2025, 12:59 PM","December 23, 2025, 12:59 PM",2O2RU3NV,1.4.5,s3://taggrops/production/submissions/2O2RU3NV/6d8e1695-5362-486d-9b35-95d98e5a2146/mac_vscode_standup_notes_md.zip,"December 23, 2025, 12:59 PM",mac_vscode_standup_notes_md,6d8e1695-5362-486d-9b35-95d98e5a2146
"2,537,462","223,478",334,duration_diff,Frame drops in video,simple,The recorded video has frame drops. Please ensure you are using a system with a minimum of 8GB RAM and processor at least i5/Ryzen 5 in Windows/Linux or any Macbook,passed,✅ PASSED,"{""status"": ""passed"", ""timestamp"": ""2025-12-23T12:59:53.524Z"", ""duration_diff_ms"": -66.81, ""validation_status"": ""success"", ""video_pts_time_sec"": 14.499857, ""video_actual_duration_sec"": 14.566667}","December 23, 2025, 12:59 PM","December 23, 2025, 12:59 PM",2O2RU3NV,1.4.5,s3://taggrops/production/submissions/2O2RU3NV/6d8e1695-5362-486d-9b35-95d98e5a2146/mac_vscode_standup_notes_md.zip,"December 23, 2025, 12:59 PM",mac_vscode_standup_notes_md,6d8e1695-5362-486d-9b35-95d98e5a2146
"2,537,454","223,478",22,events_jsonl_exists,events.jsonl exists,simple,"Checks if the events.jsonl file exists, which contains the activity log of user interactions during the recording.",passed,✅ PASSED,"{""status"": ""passed""}","December 23, 2025, 12:59 PM","December 23, 2025, 12:59 PM",2O2RU3NV,1.4.5,s3://taggrops/production/submissions/2O2RU3NV/6d8e1695-5362-486d-9b35-95d98e5a2146/mac_vscode_standup_notes_md.zip,"December 23, 2025, 12:59 PM",mac_vscode_standup_notes_md,6d8e1695-5362-486d-9b35-95d98e5a2146
"2,537,455","223,478",23,events_jsonl_size_valid,events.jsonl size valid,simple,Verifies that the events.jsonl file has content (greater than 10 bytes).,passed,✅ PASSED,"{""size"": 19081, ""status"": ""passed""}","December 23, 2025, 12:59 PM","December 23, 2025, 12:59 PM",2O2RU3NV,1.4.5,s3://taggrops/production/submissions/2O2RU3NV/6d8e1695-5362-486d-9b35-95d98e5a2146/mac_vscode_standup_notes_md.zip,"December 23, 2025, 12:59 PM",mac_vscode_standup_notes_md,6d8e1695-5362-486d-9b35-95d98e5a2146
"2,537,448","223,478",32,folder_name_match,Folder name matches ZIP name,simple,Verifies that the extracted folder name matches the task slug. The ZIP file should contain a single folder with the same name as the task.,passed,✅ PASSED,"{""actual"": ""mac_vscode_standup_notes_md"", ""status"": ""passed"", ""expected"": ""mac_vscode_standup_notes_md""}","December 23, 2025, 12:59 PM","December 23, 2025, 12:59 PM",2O2RU3NV,1.4.5,s3://taggrops/production/submissions/2O2RU3NV/6d8e1695-5362-486d-9b35-95d98e5a2146/mac_vscode_standup_notes_md.zip,"December 23, 2025, 12:59 PM",mac_vscode_standup_notes_md,6d8e1695-5362-486d-9b35-95d98e5a2146
"2,537,463","223,478",255,fps_validation,FPS Validation,simple,Verifies that the video FPS after processing equals the expected threshold (30 fps).,passed,✅ PASSED,"{""status"": ""passed"", ""actual_fps"": 30, ""threshold_fps"": 30}","December 23, 2025, 12:59 PM","December 23, 2025, 12:59 PM",2O2RU3NV,1.4.5,s3://taggrops/production/submissions/2O2RU3NV/6d8e1695-5362-486d-9b35-95d98e5a2146/mac_vscode_standup_notes_md.zip,"December 23, 2025, 12:59 PM",mac_vscode_standup_notes_md,6d8e1695-5362-486d-9b35-95d98e5a2146
"2,537,461","223,478",257,idle_time,Idle Time & Gap Detection,simple,Detects idle periods exceeding threshold (25 seconds).,passed,✅ PASSED,"{""status"": ""passed"", ""timestamp"": ""2025-12-23T12:59:53.480Z"", ""idle_gap_sec"": null, ""idle_detected"": false, ""idle_start_frame_index"": null}","December 23, 2025, 12:59 PM","December 23, 2025, 12:59 PM",2O2RU3NV,1.4.5,s3://taggrops/production/submissions/2O2RU3NV/6d8e1695-5362-486d-9b35-95d98e5a2146/mac_vscode_standup_notes_md.zip,"December 23, 2025, 12:59 PM",mac_vscode_standup_notes_md,6d8e1695-5362-486d-9b35-95d98e5a2146
"2,537,456","223,478",24,metadata_json_exists,metadata.json exists,simple,"Checks if the metadata.json file exists, which contains recording information and configuration.",passed,✅ PASSED,"{""status"": ""passed""}","December 23, 2025, 12:59 PM","December 23, 2025, 12:59 PM",2O2RU3NV,1.4.5,s3://taggrops/production/submissions/2O2RU3NV/6d8e1695-5362-486d-9b35-95d98e5a2146/mac_vscode_standup_notes_md.zip,"December 23, 2025, 12:59 PM",mac_vscode_standup_notes_md,6d8e1695-5362-486d-9b35-95d98e5a2146
"2,537,457","223,478",25,metadata_json_size_valid,metadata.json size valid,simple,Verifies that the metadata.json file has content (greater than 10 bytes).,passed,✅ PASSED,"{""size"": 1029, ""status"": ""passed""}","December 23, 2025, 12:59 PM","December 23, 2025, 12:59 PM",2O2RU3NV,1.4.5,s3://taggrops/production/submissions/2O2RU3NV/6d8e1695-5362-486d-9b35-95d98e5a2146/mac_vscode_standup_notes_md.zip,"December 23, 2025, 12:59 PM",mac_vscode_standup_notes_md,6d8e1695-5362-486d-9b35-95d98e5a2146
"2,537,460","223,478",259,non_relevant_keys,Non-Relevant Keypress Detection,simple,Detects keypresses of non-relevant or unusual keys that should not appear in normal usage.,passed,✅ PASSED,"{""status"": ""passed"", ""timestamp"": ""2025-12-23T12:59:53.479Z"", ""non_relevant_keys"": [], ""non_relevant_key_count"": 0, ""non_relevant_keypress_detected"": false}","December 23, 2025, 12:59 PM","December 23, 2025, 12:59 PM",2O2RU3NV,1.4.5,s3://taggrops/production/submissions/2O2RU3NV/6d8e1695-5362-486d-9b35-95d98e5a2146/mac_vscode_standup_notes_md.zip,"December 23, 2025, 12:59 PM",mac_vscode_standup_notes_md,6d8e1695-5362-486d-9b35-95d98e5a2146
"2,537,459","223,478",258,paste_before_copy,Paste Before Copy Detection,simple,"Detects if a paste action (Ctrl+V/Cmd+V) occurs before any copy action (Ctrl+C/Cmd+C), indicating pre-copied content.",passed,✅ PASSED,"{""status"": ""passed"", ""timestamp"": ""2025-12-23T12:59:53.479Z"", ""paste_before_copy"": false, ""first_copy_timestamp_ms"": null, ""first_paste_timestamp_ms"": null}","December 23, 2025, 12:59 PM","December 23, 2025, 12:59 PM",2O2RU3NV,1.4.5,s3://taggrops/production/submissions/2O2RU3NV/6d8e1695-5362-486d-9b35-95d98e5a2146/mac_vscode_standup_notes_md.zip,"December 23, 2025, 12:59 PM",mac_vscode_standup_notes_md,6d8e1695-5362-486d-9b35-95d98e5a2146
"2,537,458","223,478",74,taggr_version_valid,Taggr app version should be >=1.4.5,simple,Verifies that the Taggr app version in metadata.json is >= 1.4.5. Please update your Taggr app if this check fails.,passed,✅ PASSED,"{""status"": ""passed"", ""message"": ""Version 1.4.5 meets minimum requirement (>= 1.4.5)"", ""found_version"": ""1.4.5"", ""expected_version"": "">= 1.4.5""}","December 23, 2025, 12:59 PM","December 23, 2025, 12:59 PM",2O2RU3NV,1.4.5,s3://taggrops/production/submissions/2O2RU3NV/6d8e1695-5362-486d-9b35-95d98e5a2146/mac_vscode_standup_notes_md.zip,"December 23, 2025, 12:59 PM",mac_vscode_standup_notes_md,6d8e1695-5362-486d-9b35-95d98e5a2146
"2,537,449","223,478",18,task_slug_match,Correct task slug,simple,Ensures the recording is in the correct task folder with the expected task slug name.,passed,✅ PASSED,"{""status"": ""passed""}","December 23, 2025, 12:59 PM","December 23, 2025, 12:59 PM",2O2RU3NV,1.4.5,s3://taggrops/production/submissions/2O2RU3NV/6d8e1695-5362-486d-9b35-95d98e5a2146/mac_vscode_standup_notes_md.zip,"December 23, 2025, 12:59 PM",mac_vscode_standup_notes_md,6d8e1695-5362-486d-9b35-95d98e5a2146
"2,537,451","223,478",20,video_count_valid,Single video file,simple,Verifies that exactly one video file exists. Multiple or no video files will fail this check.,passed,✅ PASSED,"{""count"": 1, ""status"": ""passed""}","December 23, 2025, 12:59 PM","December 23, 2025, 12:59 PM",2O2RU3NV,1.4.5,s3://taggrops/production/submissions/2O2RU3NV/6d8e1695-5362-486d-9b35-95d98e5a2146/mac_vscode_standup_notes_md.zip,"December 23, 2025, 12:59 PM",mac_vscode_standup_notes_md,6d8e1695-5362-486d-9b35-95d98e5a2146
"2,537,450","223,478",19,video_exists,Recording video found,simple,Checks if a video file exists in the recording folder. At least one video file is required.,passed,✅ PASSED,"{""status"": ""passed""}","December 23, 2025, 12:59 PM","December 23, 2025, 12:59 PM",2O2RU3NV,1.4.5,s3://taggrops/production/submissions/2O2RU3NV/6d8e1695-5362-486d-9b35-95d98e5a2146/mac_vscode_standup_notes_md.zip,"December 23, 2025, 12:59 PM",mac_vscode_standup_notes_md,6d8e1695-5362-486d-9b35-95d98e5a2146
"2,537,452","223,478",21,video_size_valid,Video file size valid,simple,Ensures the video file has a reasonable size (greater than 10 bytes).,passed,✅ PASSED,"{""size"": 1131977, ""status"": ""passed""}","December 23, 2025, 12:59 PM","December 23, 2025, 12:59 PM",2O2RU3NV,1.4.5,s3://taggrops/production/submissions/2O2RU3NV/6d8e1695-5362-486d-9b35-95d98e5a2146/mac_vscode_standup_notes_md.zip,"December 23, 2025, 12:59 PM",mac_vscode_standup_notes_md,6d8e1695-5362-486d-9b35-95d98e5a2146
"2,537,464","223,478",256,python_system_config_checks,System Configuration Checks,deep,"Validates system configuration metrics: cursor matching, frame gap detection, and keypress verification.",passed,✅ PASSED,"{""os_name"": ""Linux"", ""actual_match"": 1, ""cursor_matches"": 5, ""cursor_mismatches"": 0, ""cursor_not_detected"": 0, ""keypress_total_pairs"": 23, ""gap_max_actions_per_frame"": 2, ""keypress_verification_rate"": 0.9545}","December 23, 2025, 1:00 PM","December 23, 2025, 1:00 PM",2O2RU3NV,1.4.5,s3://taggrops/production/submissions/2O2RU3NV/6d8e1695-5362-486d-9b35-95d98e5a2146/mac_vscode_standup_notes_md.zip,"December 23, 2025, 12:59 PM",mac_vscode_standup_notes_md,6d8e1695-5362-486d-9b35-95d98e5a2146
